Category,Feed Name,Title,Link,Published Date
Ευρωπαϊκή Ένωση,European Council - Σύνοψη Πράξεων,ST 6561 2025 INIT,https://data.consilium.europa.eu/doc/document/ST-6561-2025-INIT/en/pdf,Χωρίς ημερομηνία
Ευρωπαϊκή Ένωση,European Council - Σύνοψη Πράξεων,ST 6376 2025 INIT,https://data.consilium.europa.eu/doc/document/ST-6376-2025-INIT/en/pdf,Χωρίς ημερομηνία
Ευρωπαϊκή Ένωση,European Council - Σύνοψη Πράξεων,ST 12271 2024 REV 1,https://data.consilium.europa.eu/doc/document/ST-12271-2024-REV-1/en/pdf,Χωρίς ημερομηνία
Ευρωπαϊκή Ένωση,European Council - Σύνοψη Πράξεων,ST 12423 2024 REV 1,https://data.consilium.europa.eu/doc/document/ST-12423-2024-REV-1/en/pdf,Χωρίς ημερομηνία
Ευρωπαϊκή Ένωση,European Council - Σύνοψη Πράξεων,ST 12321 2024 REV 1,https://data.consilium.europa.eu/doc/document/ST-12321-2024-REV-1/en/pdf,Χωρίς ημερομηνία
Ευρωπαϊκή Ένωση,European Council - Σύνοψη Πράξεων,ST 12487 2024 INIT,https://data.consilium.europa.eu/doc/document/ST-12487-2024-INIT/en/pdf,Χωρίς ημερομηνία
Ευρωπαϊκή Ένωση,European Council - Σύνοψη Πράξεων,ST 12423 2024 INIT,https://data.consilium.europa.eu/doc/document/ST-12423-2024-INIT/en/pdf,Χωρίς ημερομηνία
Ευρωπαϊκή Ένωση,European Council - Σύνοψη Πράξεων,ST 12321 2024 INIT,https://data.consilium.europa.eu/doc/document/ST-12321-2024-INIT/en/pdf,Χωρίς ημερομηνία
Ευρωπαϊκή Ένωση,European Council - Σύνοψη Πράξεων,ST 12271 2024 INIT,https://data.consilium.europa.eu/doc/document/ST-12271-2024-INIT/en/pdf,Χωρίς ημερομηνία
Ευρωπαϊκή Ένωση,European Council - Σύνοψη Πράξεων,ST 8634 2022 INIT,https://data.consilium.europa.eu/doc/document/ST-8634-2022-INIT/en/pdf,Χωρίς ημερομηνία
Ευρωπαϊκή Ένωση,European Council - Σύνοψη Πράξεων,ST 6054 2022 ADD 1 REV 1,https://data.consilium.europa.eu/doc/document/ST-6054-2022-ADD-1-REV-1/en/pdf,Χωρίς ημερομηνία
Ευρωπαϊκή Ένωση,European Council - Σύνοψη Πράξεων,ST 6054 2022 INIT,https://data.consilium.europa.eu/doc/document/ST-6054-2022-INIT/en/pdf,Χωρίς ημερομηνία
Ευρωπαϊκή Ένωση,European Council - Σύνοψη Πράξεων,ST 5969 2022 INIT,https://data.consilium.europa.eu/doc/document/ST-5969-2022-INIT/en/pdf,Χωρίς ημερομηνία
Ευρωπαϊκή Ένωση,European Council - Σύνοψη Πράξεων,ST 14658 2021 INIT,https://data.consilium.europa.eu/doc/document/ST-14658-2021-INIT/en/pdf,Χωρίς ημερομηνία
Ευρωπαϊκή Ένωση,European Council - Σύνοψη Πράξεων,ST 5897 2022 INIT,https://data.consilium.europa.eu/doc/document/ST-5897-2022-INIT/en/pdf,Χωρίς ημερομηνία
Ευρωπαϊκή Ένωση,European Council - Σύνοψη Πράξεων,ST 14550 2021 INIT,https://data.consilium.europa.eu/doc/document/ST-14550-2021-INIT/en/pdf,Χωρίς ημερομηνία
